day,random_forest_forecast,lstm_forecast
1,14.818761111111119,8.88524
2,14.818761111111117,8.13102
3,14.818761111111119,7.5110793
4,14.818761111111119,7.41441
5,14.818761111111117,7.6564407
6,14.818761111111113,8.010002
7,14.818761111111117,8.409005
8,14.818761111111117,8.303475
9,14.818761111111119,8.268361
10,14.818761111111119,8.3220005
11,14.818761111111119,8.307983
12,14.81876111111111,8.348512
13,14.818761111111119,8.576005
14,14.818761111111119,9.001754
15,14.818761111111119,9.471533
16,14.818761111111119,9.986859
17,14.818761111111119,10.604807
18,14.81876111111112,11.304364
19,14.818761111111119,12.267555
20,14.818761111111119,13.469609
21,14.818761111111119,14.434175
22,14.818761111111119,15.377357
23,14.818761111111117,16.255514
24,14.81876111111112,17.193455
25,14.818761111111119,18.019283
26,14.818761111111119,18.797083
27,14.818761111111119,19.515757
28,14.818761111111117,20.167849
29,14.818761111111113,20.748505
30,14.818761111111113,21.254694
